Starting backup at Thu Dec 25 11:49:50 CST 2025
Source: /jenquist-cloud
Destination: b2-encrypted:
---
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/nvidia--nvidia-smi: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/mt.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/glx--libGLESv1_CM.so.1-x86_64-linux-gnu: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/c89.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/vi.it.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/start-here-24.png: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/nvidia: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/pybabel: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/desktop-grub: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/nvidia--nvidia-drm-outputclass.conf: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/lzcat.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/faked.sv.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/glx--nvidia-bug-report.sh: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/nvidia--libvdpau_nvidia.so.1-x86_64-linux-gnu: Can't follow symlink without -L/--copy-links
